,2018-12-16 10:05:00,2018-12-16 10:10:00,2018-12-16 10:15:00,2018-12-16 10:20:00,2018-12-16 10:25:00,2018-12-16 10:30:00,2018-12-16 10:35:00,2018-12-16 10:40:00,2018-12-16 10:45:00,2018-12-16 10:50:00,2018-12-16 10:55:00,2018-12-16 11:00:00,2018-12-16 11:05:00,2018-12-16 11:10:00,2018-12-16 11:15:00,2018-12-16 11:20:00,2018-12-16 11:25:00,2018-12-16 11:30:00,2018-12-16 11:35:00,2018-12-16 11:40:00,2018-12-16 11:45:00,2018-12-16 11:50:00,2018-12-16 11:55:00,2018-12-16 12:00:00,2018-12-16 12:05:00,2018-12-16 12:10:00,2018-12-16 12:15:00,2018-12-16 12:20:00,2018-12-16 12:25:00,2018-12-16 12:30:00,2018-12-16 12:35:00,2018-12-16 12:40:00,2018-12-16 12:45:00,2018-12-16 12:50:00,2018-12-16 12:55:00,2018-12-16 13:00:00,2018-12-16 13:05:00,2018-12-16 13:10:00,2018-12-16 13:15:00,2018-12-16 13:20:00,2018-12-16 13:25:00,2018-12-16 13:30:00,2018-12-16 13:35:00,2018-12-16 13:40:00,2018-12-16 13:45:00,2018-12-16 13:50:00,2018-12-16 13:55:00,2018-12-16 14:00:00,2018-12-16 14:05:00,2018-12-16 14:10:00,2018-12-16 14:15:00,2018-12-16 14:20:00,2018-12-16 14:25:00,2018-12-16 14:30:00,2018-12-16 14:35:00,2018-12-16 14:40:00,2018-12-16 14:45:00,2018-12-16 14:50:00,2018-12-16 14:55:00,2018-12-16 15:00:00,2018-12-16 15:05:00,2018-12-16 15:10:00,2018-12-16 15:15:00,2018-12-16 15:20:00,2018-12-16 15:25:00,2018-12-16 15:30:00,2018-12-16 15:35:00,2018-12-16 15:40:00,2018-12-16 15:45:00,2018-12-16 15:50:00,2018-12-16 15:55:00,2018-12-16 16:00:00,2018-12-16 16:05:00,2018-12-16 16:10:00,2018-12-16 16:15:00,2018-12-16 16:20:00,2018-12-16 16:25:00,2018-12-16 16:30:00,2018-12-16 16:35:00,2018-12-16 16:40:00,2018-12-16 16:45:00,2018-12-16 16:50:00,2018-12-16 16:55:00,2018-12-16 17:00:00,2018-12-16 17:05:00,2018-12-16 17:10:00,2018-12-16 17:15:00,2018-12-16 17:20:00,2018-12-16 17:25:00,2018-12-16 17:30:00,2018-12-16 17:35:00,2018-12-16 17:40:00,2018-12-16 17:45:00,2018-12-16 17:50:00,2018-12-16 17:55:00,2018-12-16 18:00:00,2018-12-16 18:05:00,2018-12-16 18:10:00,2018-12-16 18:15:00,2018-12-16 18:20:00,2018-12-16 18:25:00,2018-12-16 18:30:00,2018-12-16 18:35:00,2018-12-16 18:40:00,2018-12-16 18:45:00,2018-12-16 18:50:00,2018-12-16 18:55:00,2018-12-16 19:00:00,2018-12-16 19:05:00,2018-12-16 19:10:00,2018-12-16 19:15:00,2018-12-16 19:20:00,2018-12-16 19:25:00,2018-12-16 19:30:00,2018-12-16 19:35:00,2018-12-16 19:40:00,2018-12-16 19:45:00,2018-12-16 19:50:00,2018-12-16 19:55:00
0,0,12,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,1,0,0,1,1,2,2,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,2,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,2,0,1,0,0,0,1,0,0,1,0,1,0,1,2,0,2,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,0
1,0,11,0,1,2,1,2,2,0,1,2,0,0,0,0,1,2,2,0,1,1,2,1,0,3,0,2,2,1,1,3,2,3,2,2,2,6,0,1,0,1,0,0,0,1,3,1,2,2,1,2,1,2,3,1,2,1,0,1,2,2,0,2,0,4,1,3,1,3,0,0,3,2,1,0,0,3,1,1,0,5,1,1,3,0,1,3,1,0,2,1,0,2,0,2,2,3,1,0,0,1,3,1,0,1,1,1,1,2,1,1,0,0,1,1,0,2,1,0
2,0,7,0,1,0,1,2,1,0,0,0,1,1,2,1,0,1,0,1,1,0,1,0,0,0,1,2,0,0,2,0,0,2,0,1,0,2,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,2,0,1,2,0,2,0,0,0,2,0,0,0,1,1,2,0,0,1,1,1,0,1,0,3,0,0,0,0,1,0,0,0,2,1,0,1,2,0,1,0,1,0,0,0,0,0
3,0,28,0,1,0,1,0,1,1,0,3,0,2,1,1,0,0,0,1,1,1,2,2,0,3,1,1,2,0,1,0,0,1,3,2,0,1,0,1,2,1,1,0,1,1,1,0,0,1,0,0,0,2,1,3,1,1,2,0,2,1,1,1,1,0,1,1,0,1,1,1,2,0,4,2,4,1,3,0,1,3,2,0,2,1,4,1,2,1,0,1,2,2,1,2,0,3,4,1,2,1,4,1,1,1,1,1,3,1,1,1,0,0,0,0,0,1,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,14,0,0,1,0,1,1,0,0,2,1,0,0,1,1,1,3,0,2,0,1,1,2,0,3,0,0,0,1,1,0,1,2,0,1,2,1,0,1,1,0,0,0,1,1,0,3,2,1,0,1,4,0,2,0,0,1,1,0,1,2,1,1,2,0,2,0,1,0,1,0,1,0,0,0,2,0,0,1,1,1,1,0,0,0,3,2,1,0,1,1,0,2,2,0,1,1,1,1,0,1,0,1,1,1,3,0,1,1,1,0,1,2,0,0,0,0,0
7,0,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,2,1,0,0,0,1,1,0,0,1,2,1,2,1,1,0,1,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
