,2018-12-18 08:00:00,2018-12-18 08:05:00,2018-12-18 08:10:00,2018-12-18 08:15:00,2018-12-18 08:20:00,2018-12-18 08:25:00,2018-12-18 08:30:00,2018-12-18 08:35:00,2018-12-18 08:40:00,2018-12-18 08:45:00,2018-12-18 08:50:00,2018-12-18 08:55:00,2018-12-18 09:00:00,2018-12-18 09:05:00,2018-12-18 09:10:00,2018-12-18 09:15:00,2018-12-18 09:20:00,2018-12-18 09:25:00,2018-12-18 09:30:00,2018-12-18 09:35:00,2018-12-18 09:40:00,2018-12-18 09:45:00,2018-12-18 09:50:00,2018-12-18 09:55:00,2018-12-18 10:00:00,2018-12-18 10:05:00,2018-12-18 10:10:00,2018-12-18 10:15:00,2018-12-18 10:20:00,2018-12-18 10:25:00,2018-12-18 10:30:00,2018-12-18 10:35:00,2018-12-18 10:40:00,2018-12-18 10:45:00,2018-12-18 10:50:00,2018-12-18 10:55:00,2018-12-18 11:00:00,2018-12-18 11:05:00,2018-12-18 11:10:00,2018-12-18 11:15:00,2018-12-18 11:20:00,2018-12-18 11:25:00,2018-12-18 11:30:00,2018-12-18 11:35:00,2018-12-18 11:40:00,2018-12-18 11:45:00,2018-12-18 11:50:00,2018-12-18 11:55:00,2018-12-18 12:00:00,2018-12-18 12:05:00,2018-12-18 12:10:00,2018-12-18 12:15:00,2018-12-18 12:20:00,2018-12-18 12:25:00,2018-12-18 12:30:00,2018-12-18 12:35:00,2018-12-18 12:40:00,2018-12-18 12:45:00,2018-12-18 12:50:00,2018-12-18 12:55:00,2018-12-18 13:00:00,2018-12-18 13:05:00,2018-12-18 13:10:00,2018-12-18 13:15:00,2018-12-18 13:20:00,2018-12-18 13:25:00,2018-12-18 13:30:00,2018-12-18 13:35:00,2018-12-18 13:40:00,2018-12-18 13:45:00,2018-12-18 13:50:00,2018-12-18 13:55:00,2018-12-18 14:00:00,2018-12-18 14:05:00,2018-12-18 14:10:00,2018-12-18 14:15:00,2018-12-18 14:20:00,2018-12-18 14:25:00,2018-12-18 14:30:00,2018-12-18 14:35:00,2018-12-18 14:40:00,2018-12-18 14:45:00,2018-12-18 14:50:00,2018-12-18 14:55:00,2018-12-18 15:00:00,2018-12-18 15:05:00,2018-12-18 15:10:00,2018-12-18 15:15:00,2018-12-18 15:20:00,2018-12-18 15:25:00,2018-12-18 15:30:00,2018-12-18 15:35:00,2018-12-18 15:40:00,2018-12-18 15:45:00,2018-12-18 15:50:00,2018-12-18 15:55:00,2018-12-18 16:00:00,2018-12-18 16:05:00,2018-12-18 16:10:00,2018-12-18 16:15:00,2018-12-18 16:20:00,2018-12-18 16:25:00,2018-12-18 16:30:00,2018-12-18 16:35:00,2018-12-18 16:40:00,2018-12-18 16:45:00,2018-12-18 16:50:00,2018-12-18 16:55:00,2018-12-18 17:00:00,2018-12-18 17:05:00,2018-12-18 17:10:00,2018-12-18 17:15:00,2018-12-18 17:20:00,2018-12-18 17:25:00,2018-12-18 17:30:00,2018-12-18 17:35:00,2018-12-18 17:40:00,2018-12-18 17:45:00,2018-12-18 17:50:00,2018-12-18 17:55:00,2018-12-18 18:00:00,2018-12-18 18:05:00,2018-12-18 18:10:00,2018-12-18 18:15:00,2018-12-18 18:20:00,2018-12-18 18:25:00,2018-12-18 18:30:00,2018-12-18 18:35:00,2018-12-18 18:40:00,2018-12-18 18:45:00,2018-12-18 18:50:00,2018-12-18 18:55:00,2018-12-18 19:00:00,2018-12-18 19:05:00,2018-12-18 19:10:00,2018-12-18 19:15:00,2018-12-18 19:20:00,2018-12-18 19:25:00,2018-12-18 19:30:00,2018-12-18 19:35:00,2018-12-18 19:40:00,2018-12-18 19:45:00,2018-12-18 19:50:00,2018-12-18 19:55:00,2018-12-18 20:00:00,2018-12-18 20:05:00
0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,0,1,2,0,0,2,1,0,0,0,1,0,1,0,5,0,0,1,1,2,0,1,0,0,1,0,1,1,2,0,2,2,1,2,0,1,0,1,1,2,1,0,0,2,1,0,0,3,3,1,0,1,1,0,0,1,0,1,2,1,0,1,0,0,0,2,1,3,0,4,0,0,0,2,0,1,1,1,3,1,1,0,0,0,0,0,2,1,1,1,0,1,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,4,0
1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,2,1,1,0,0,2,1,1,1,0,4,0,0,1,3,0,0,2,1,2,3,1,0,2,2,3,4,1,1,1,0,2,0,0,2,0,2,2,1,2,1,3,1,3,1,2,3,0,4,1,3,2,2,1,1,1,1,1,2,1,1,1,3,2,0,2,3,0,0,1,0,3,3,1,1,2,2,1,2,2,3,2,3,1,1,3,3,2,3,3,1,0,4,2,2,1,1,1,0,2,3,1,1,1,0,1,0,2,1,1,0,0,0,0,2,0,1,0,2,0,0,1,2,0,24,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,10,0
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5,27,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,2,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,2,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,2,1,0,1,1,0,0,4,0,1,2,3,0,2,0,1,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,20,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
